enrollment,actual_duration,AE_total_serious,mean_age_imp,phase_encoded,dropout_rate
450.0,12.0,1.0,17.5,6,3.111111111111111
17.0,60.0,3.0,41.5,2,11.76470588235294
715.0,7.0,349.0,33.89936608557845,4,1.818181818181818
2907.0,13.0,119.0,6.0,6,3.611971104231166
668.0,17.0,140.0,41.5,4,8.532934131736528
2808.0,19.0,5488.0,33.89936608557845,6,18.58974358974359
40.0,1.0,0.0,17.5,2,0.0
3366.0,30.0,47.0,33.89936608557845,0,0.0
53.0,23.0,5.0,17.5,0,7.547169811320755
64.0,1.0,0.0,33.89936608557845,4,0.0
1518.0,18.0,42.0,17.5,6,10.474308300395258
209.0,18.0,58.0,33.89936608557845,3,9.569377990430622
133.0,14.0,6.0,33.89936608557845,2,2.255639097744361
600.0,7.0,1.0,27.0,6,2.0
120.0,43.0,1.0,33.89936608557845,6,5.833333333333333
60.0,3.0,3.0,33.89936608557845,6,1.6666666666666667
979.0,5.0,64.0,41.0,4,13.38100102145046
3006.0,40.0,834.0,32.5,6,13.872255489021956
16165.0,45.0,13928.0,33.89936608557845,6,11.283637488400869
177.0,10.0,4.0,33.89936608557845,6,5.084745762711865
9.0,28.0,3.0,41.5,4,66.66666666666666
64.0,55.0,186.0,41.5,3,0.0
180.0,39.0,2.0,41.5,4,3.333333333333333
50.0,19.0,1.0,33.0,4,8.0
620.0,12.0,17.0,33.89936608557845,7,11.129032258064516
953.0,9.0,505.0,33.89936608557845,4,4.092339979013642
368.0,7.0,2.0,41.0,0,2.4456521739130435
458.0,14.0,4.0,33.89936608557845,6,1.0917030567685588
3360.0,8.0,1135.0,41.0,6,1.25
606.0,3.0,100.0,33.89936608557845,6,3.3003300330033
110.0,9.0,0.0,12.0,6,1.818181818181818
120.0,8.0,18.0,28.5,4,3.333333333333333
168.0,12.0,5.0,33.89936608557845,4,0.0
83.0,66.0,112.0,41.5,4,8.433734939759036
3851.0,9.0,1571.0,33.89936608557845,6,0.5712801869644248
255.0,3.0,0.0,44.5,0,0.0
851.0,27.0,0.0,33.89936608557845,6,0.9400705052878966
1620.0,9.0,12.0,14.5,6,13.333333333333334
512.0,20.0,21.0,39.0,4,12.3046875
611.0,12.0,6.0,14.0,6,0.3273322422258592
225.0,9.0,3.0,20.0,6,7.555555555555555
24.0,48.0,47.0,41.5,2,0.0
96.0,8.0,5.0,33.89936608557845,6,3.125
435.0,22.0,5.0,29.0,4,12.413793103448276
170.0,0.0,0.0,33.89936608557845,0,0.0
1499.0,79.0,18.0,17.5,4,8.872581721147432
275.0,65.0,318.0,41.5,4,87.27272727272727
409.0,5.0,5.0,31.5,6,10.757946210268948
90.0,2.0,1.0,33.89936608557845,7,1.1111111111111112
164.0,6.0,0.0,34.0,2,3.048780487804878
126.0,0.0,0.0,41.5,4,0.0
60.0,3.0,0.0,33.89936608557845,7,0.0
20.0,3.0,1.0,34.0,4,0.0
11999.0,16.0,969.0,33.89936608557845,7,1.2251020918409867
64.0,0.0,0.0,33.89936608557845,4,3.125
1866.0,44.0,4549.0,33.89936608557845,6,7.770632368703108
35.0,53.0,4.0,33.89936608557845,2,2.857142857142857
437.0,34.0,57.0,33.89936608557845,4,7.322654462242563
568.0,34.0,522.0,41.5,6,25.880281690140844
525.0,10.0,3.0,36.5,4,6.666666666666667
1393.0,6.0,1016.0,33.89936608557845,4,2.9432878679109837
354.0,14.0,38.0,33.89936608557845,6,2.2598870056497176
240.0,2.0,0.0,33.89936608557845,7,0.0
22.0,6.0,0.0,41.5,2,13.636363636363637
678.0,18.0,390.0,29.0,2,5.604719764011799
215.0,14.0,14.0,36.0,4,66.04651162790698
433.0,33.0,0.0,33.89936608557845,6,26.32794457274827
357.0,2.0,2.0,33.89936608557845,4,0.0
755.0,4.0,23.0,67.5,6,7.28476821192053
250.0,5.0,5.0,67.5,6,3.2
777.0,6.0,40.0,33.89936608557845,6,8.622908622908623
24.0,64.0,8.0,69.5,3,0.0
71.0,14.0,0.0,36.5,4,0.0
1116.0,76.0,126.0,54.5,6,36.20071684587813
354.0,16.0,6.0,26.5,6,6.779661016949152
482.0,8.0,19.0,33.89936608557845,7,4.149377593360995
129.0,4.0,0.0,19.0,4,0.0
60.0,4.0,1.0,33.89936608557845,7,0.0
144.0,18.0,0.0,33.89936608557845,7,0.6944444444444444
301.0,21.0,2.0,33.89936608557845,4,19.93355481727575
1250.0,5.0,6.0,41.0,7,2.48
16.0,75.0,0.0,69.0,3,6.25
818.0,7.0,67.0,33.89936608557845,7,11.124694376528115
319.0,47.0,33.0,29.0,4,11.598746081504702
708.0,28.0,225.0,33.89936608557845,6,44.2090395480226
284.0,18.0,248.0,33.89936608557845,6,6.338028169014084
420.0,4.0,15.0,29.0,2,3.095238095238096
130.0,34.0,70.0,9.5,4,11.538461538461538
72.0,30.0,3.0,28.0,3,15.27777777777778
34.0,50.0,49.0,59.0,2,5.88235294117647
24.0,81.0,4.0,41.5,3,0.0
40.0,14.0,2.0,36.5,2,0.0
305.0,3.0,113.0,3.5,7,1.639344262295082
300.0,7.0,0.0,39.0,6,0.0
270.0,14.0,4.0,14.0,4,2.9629629629629632
60.0,13.0,0.0,36.5,2,0.0
5.0,49.0,3.0,41.5,4,60.0
56.0,183.0,1.0,41.5,4,39.285714285714285
227.0,11.0,4.0,33.5,3,0.881057268722467
385.0,15.0,79.0,33.89936608557845,4,7.792207792207792
498.0,3.0,18.0,33.89936608557845,6,1.4056224899598393
552.0,5.0,2.0,39.0,6,0.9057971014492754
1437.0,9.0,118.0,33.89936608557845,6,1.9485038274182327
243.0,1.0,1.0,39.0,4,0.0
303.0,6.0,3.0,33.5,7,3.3003300330033
1206.0,3.0,696.0,39.0,6,1.5754560530679935
140.0,23.0,0.0,31.5,2,5.714285714285714
1106.0,19.0,38.0,33.89936608557845,6,0.9041591320072332
456.0,5.0,8.0,33.89936608557845,7,3.947368421052632
110.0,4.0,0.0,33.5,4,0.0
414.0,3.0,8.0,6.0,6,0.0
1330.0,49.0,9.0,41.0,7,1.7293233082706767
86.0,19.0,69.0,29.0,4,2.3255813953488373
78.0,3.0,3.0,41.0,4,2.564102564102564
666.0,12.0,3.0,4.0,7,4.804804804804805
271.0,7.0,1.0,19.0,4,3.321033210332104
270.0,13.0,600.0,29.0,4,9.62962962962963
37.0,11.0,2.0,34.0,4,0.0
24.0,17.0,29.0,34.0,2,4.166666666666666
2590.0,34.0,1605.0,33.89936608557845,7,4.324324324324325
1200.0,1.0,44.0,39.0,6,0.4166666666666667
180.0,2.0,6.0,33.89936608557845,7,0.0
255.0,14.0,108.0,26.5,4,19.607843137254903
461.0,11.0,5.0,33.89936608557845,4,4.338394793926248
1000.0,8.0,205.0,33.89936608557845,6,3.8
546.0,18.0,9.0,33.89936608557845,6,5.677655677655678
30.0,4.0,0.0,30.0,3,3.333333333333333
788.0,50.0,647.0,33.89936608557845,6,4.060913705583756
1893.0,3.0,18.0,33.5,6,2.641310089804543
238.0,7.0,16.0,33.89936608557845,6,2.941176470588235
383.0,4.0,27.0,21.5,4,9.138381201044384
4432.0,13.0,260.0,33.89936608557845,6,5.166967509025271
613.0,9.0,34.0,33.89936608557845,4,1.794453507340946
1072.0,13.0,3.0,18.0,6,1.6791044776119404
11.0,23.0,0.0,41.5,4,81.81818181818183
1352.0,7.0,11.0,36.5,6,1.4053254437869822
1664.0,25.0,72.0,33.89936608557845,6,7.8125
702.0,38.0,319.0,33.89936608557845,6,3.7037037037037033
65.0,32.0,5.0,31.5,2,20.0
389.0,16.0,14.0,33.89936608557845,7,3.8560411311053984
120.0,1.0,0.0,41.5,7,0.0
1718.0,12.0,607.0,33.89936608557845,6,1.80442374854482
31989.0,20.0,3433.0,33.89936608557845,7,4.739129075619744
182.0,111.0,132.0,41.5,4,12.087912087912088
2000.0,30.0,877.0,41.5,4,21.7
23.0,57.0,1.0,41.5,3,0.0
3109.0,9.0,34.0,33.89936608557845,6,4.3100675458346736
540.0,12.0,1150.0,33.89936608557845,4,4.62962962962963
234.0,14.0,0.0,11.0,4,2.564102564102564
403.0,9.0,440.0,33.89936608557845,6,3.970223325062035
30.0,19.0,0.0,33.89936608557845,7,0.0
263.0,12.0,5.0,33.89936608557845,6,0.0
120.0,18.0,1.0,41.5,7,0.0
1317.0,12.0,137.0,75.0,6,7.517084282460136
22.0,32.0,4.0,69.0,2,9.090909090909092
280.0,18.0,17.0,39.0,2,6.071428571428571
152.0,3.0,5.0,22.5,6,2.631578947368421
218.0,7.0,0.0,33.89936608557845,6,1.834862385321101
2116.0,4.0,24.0,10.0,6,5.198487712665406
613.0,25.0,329.0,33.89936608557845,6,9.29853181076672
666.0,21.0,884.0,33.89936608557845,6,22.52252252252252
545.0,18.0,7.0,42.0,7,0.7339449541284404
173.0,8.0,1.0,33.89936608557845,7,2.312138728323699
86.0,14.0,4.0,31.5,4,12.790697674418606
524.0,17.0,15.0,14.0,4,2.2900763358778624
1330.0,14.0,25.0,14.5,6,6.7669172932330826
11404.0,9.0,1859.0,33.5,6,4.910557699052964
619.0,21.0,696.0,33.89936608557845,6,6.623586429725363
843.0,12.0,6.0,14.0,6,0.8303677342823249
41.0,69.0,2.0,59.0,2,60.97560975609756
583.0,8.0,7.0,33.89936608557845,4,1.5437392795883362
132.0,83.0,0.0,41.5,2,4.545454545454546
1737.0,25.0,202.0,33.89936608557845,4,15.659182498560735
13.0,109.0,0.0,41.5,4,0.0
80.0,12.0,0.0,29.0,2,1.25
600.0,2.0,2.0,33.89936608557845,4,0.0
192.0,12.0,13.0,41.0,4,5.729166666666666
107.0,12.0,0.0,41.5,0,0.0
5075.0,8.0,65.0,41.5,6,3.2906403940886704
257.0,10.0,62.0,33.89936608557845,4,0.3891050583657587
611.0,2.0,15.0,29.5,4,9.165302782324058
180.0,25.0,2.0,38.5,6,0.0
180.0,6.0,3.0,33.89936608557845,7,0.0
649.0,52.0,49.0,33.89936608557845,0,0.0
433.0,17.0,100.0,33.89936608557845,6,1.1547344110854505
9.0,20.0,0.0,41.5,2,0.0
884.0,34.0,27.0,64.5,4,0.5656108597285068
353.0,5.0,3.0,23.5,4,0.0
105.0,34.0,0.0,41.0,4,4.761904761904762
12046.0,37.0,5242.0,33.89936608557845,6,3.3704134152415737
88.0,1.0,0.0,29.0,4,2.272727272727273
1714.0,14.0,178.0,14.5,4,9.509918319719954
60.0,47.0,2.0,41.5,4,78.33333333333333
30.0,5.0,0.0,33.89936608557845,7,0.0
136.0,39.0,12.0,33.89936608557845,4,69.85294117647058
11.0,31.0,5.0,41.5,4,0.0
430.0,8.0,153.0,33.89936608557845,6,4.883720930232558
667.0,66.0,103.0,29.0,4,20.98950524737631
500.0,19.0,490.0,33.89936608557845,6,3.2
1316.0,0.0,3.0,41.0,4,0.0
22.0,11.0,1.0,34.0,2,0.0
120.0,1.0,0.0,41.5,7,0.0
215.0,7.0,0.0,12.0,7,0.0
101.0,14.0,0.0,33.89936608557845,6,0.0
324.0,5.0,3.0,33.89936608557845,6,0.9259259259259258
2098.0,8.0,135.0,41.5,4,0.905624404194471
1021.0,39.0,126.0,22.0,4,11.165523996082271
31.0,11.0,0.0,33.89936608557845,7,0.0
96.0,49.0,0.0,33.89936608557845,4,0.0
400.0,26.0,299.0,33.89936608557845,4,4.0
59.0,100.0,35.0,45.5,4,20.33898305084746
653.0,23.0,18.0,33.89936608557845,7,24.655436447166924
107.0,33.0,2.0,13.0,4,0.0
362.0,12.0,21.0,33.89936608557845,6,0.0
806.0,8.0,1164.0,33.89936608557845,6,1.6129032258064515
133.0,0.0,0.0,33.89936608557845,4,0.0
1042.0,12.0,2.0,14.0,6,4.702495201535509
105.0,26.0,50.0,33.89936608557845,6,0.9523809523809524
61.0,56.0,301.0,41.5,4,68.85245901639344
91.0,53.0,6.0,35.0,2,29.67032967032967
351.0,12.0,33.0,33.89936608557845,6,2.564102564102564
